Mobile Name,Ratings,Pricing,Description
"Nokia 6.1 Plus (Black, 64 GB)",4.2,"₹12,699",6 GB RAM | 64 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) FHD+ Display16MP + 5MP | 16MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 7.2 (Charcoal, 64 GB)",4.4,"₹19,599",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
"Nokia 3.1 Plus (Charcoal, 32 GB)",4.2,"₹7,945",3 GB RAM | 32 GB ROM |15.24 cm (6 inch) Display13MP Rear Camera3500 mAh BatteryMediatek MT6762 Helio P22 Processor1 Year Warranty
"Nokia 2.2 (Black, 16 GB)",4,"₹6,599",2 GB RAM | 16 GB ROM | Expandable Upto 400 GB14.5 cm (5.71 inch) HD+ Display13MP Rear Camera | 5MP Front Camera3000 mAh BatteryMediaTek Helio A22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
"Nokia 7.1 (Blue, 64 GB)",4.2,"₹12,120",4 GB RAM | 64 GB ROM |14.83 cm (5.84 inch) Full HD+ Display12MP + 5MP | 8MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Processor1 year manufacturer warranty for device and 6 months for accessories
"Nokia 6.1 Plus (Blue, 64 GB)",4.2,"₹12,990",6 GB RAM | 64 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) FHD+ Display16MP + 5MP | 16MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 1 (Dark Blue, 8 GB)",4,"₹4,887",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB11.43 cm (4.5 inch) Display5MP Rear Camera | 2MP Front Camera2150 mAh BatteryMT6737M Quad Core 1.1 GHz Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Nokia 2.1 (Grey / Silver, 8 GB)",4,"₹5,597",1 GB RAM | 8 GB ROM |13.97 cm (5.5 inch) HD Display8MP Rear Camera | 5MP Front Camera4000 mAh Battery1 Year Manufacturer Warranty
"Nokia 3.2 (Black, 16 GB)",4,"₹7,999",2 GB RAM | 16 GB ROM | Expandable Upto 400 GB15.9 cm (6.26 inch) Display13MP Rear Camera | 5MP Front Camera4000 mAh BatteryQualcomm Snapdragon 429 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 7.2 (Cyan Green, 64 GB)",4.4,"₹19,599",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
"Nokia 3.1 (Blue & copper/Blue, 16 GB)",4.1,"₹6,410",2 GB RAM | 16 GB ROM |13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 6.1 (Gold, Blue, 32 GB)",4.2,"₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display16MP Rear Camera3000 mAh BatteryQualcomm Snapdragon 630 ProcessorBrand Warranty of 1 Year Available for Mobile
"Nokia 3.2 (Black, 32 GB)",4.1,"₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 400 GB15.9 cm (6.26 inch) Display13MP Rear Camera | 5MP Front Camera4000 mAh BatteryQualcomm Snapdragon 429 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
"Nokia 1 (Warm Red, 8 GB)",4,"₹3,999",1 GB RAM | 8 GB ROM |11.43 cm (4.5 inch) Display5MP Rear Camera2150 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months for Accessories
"Nokia 5.1 (Black&Blue, 32 GB)",4,"₹10,879",3 GB RAM | 32 GB ROM |13.97 cm (5.5 inch) HD Display16MP Rear Camera2970 mAh Battery1 Year Warranty
"Nokia 3.1 (Black, 16 GB)",4.1,"₹8,000",2 GB RAM | 16 GB ROM |13.21 cm (5.2 inch) Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 3.1 (Black, 32 GB)",4,"₹7,999",3 GB RAM | 32 GB ROM |13.21 cm (5.2 inch) HD Display13MP Rear Camera2990 mAh Battery1 Year Warranty
"Nokia 5.1 (Black, 32 GB)",4,"₹10,899",3 GB RAM | 32 GB ROM |13.97 cm (5.5 inch) Display16MP Rear Camera2970 mAh Battery1 Year Manufacturing Warranty for Mobile and 6 Months Battery Warranty
"Nokia 5.1 Plus (Black, 32 GB)",4.3,"₹6,999",3 GB RAM | 32 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) HD+ Display13MP + 5MP | 8MP Front Camera3060 mAh BatteryMediaTek Helio P60 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 6.1 Plus (Black, 64 GB)",4.3,"₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) FHD+ Display16MP + 5MP | 16MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 6.1 Plus (Blue, 64 GB)",4.3,"₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 400 GB14.73 cm (5.8 inch) FHD+ Display16MP + 5MP | 16MP Front Camera3060 mAh BatteryQualcomm Snapdragon 636 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Nokia 8.1 (Blue, 64 GB)",4.4,"₹14,499",4 GB RAM | 64 GB ROM | Expandable Upto 400 GB15.7 cm (6.18 inch) Full HD+ Display12MP + 13MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 710 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Nokia 8.1 (Iron, 64 GB)",4.4,"₹14,499",4 GB RAM | 64 GB ROM | Expandable Upto 400 GB15.7 cm (6.18 inch) Full HD+ Display12MP + 13MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 710 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Nokia 7.2 (Charcoal, 64 GB)",4.3,"₹18,599",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP + 8MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile
